strategy_id,hour_ct,n_trades,net_pnl,win_rate,gross_win,gross_loss
v4-trend-gate,8,6,87.04999999999998,0.5,115.39999999999999,28.349999999999998
v4-trend-gate,9,18,52.400000000000006,0.5555555555555556,134.25,81.85000000000001
v4-trend-gate,10,16,-7.449999999999989,0.375,58.3,65.75
v4-trend-gate,11,12,-45.89999999999999,0.25,10.4,56.3
v4-trend-gate,12,10,-21.999999999999996,0.4,17.200000000000003,39.2
v4-trend-gate,13,17,-53.14999999999999,0.11764705882352941,33.6,86.75
v4-trend-gate,14,5,4.0000000000000036,0.4,26.1,22.1
v4-trend-gate,15,13,-70.35000000000001,0.23076923076923078,20.4,90.75000000000001
v4-trend-gate,17,1,53.05,1.0,53.05,0.0
v4-trend-gate,18,3,-8.35,0.0,0.0,8.35
v4-trend-gate,19,4,2.200000000000002,0.5,12.350000000000001,10.149999999999999
v4-trend-gate,20,4,-15.299999999999997,0.25,3.05,18.349999999999998
v4-trend-gate,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v4-trend-gate,22,12,12.850000000000005,0.5,32.05,19.2
v4-trend-gate,23,15,8.25,0.2,44.15,35.900000000000006
v4-vol-regime,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v4-vol-regime,1,13,12.150000000000002,0.5384615384615384,48.849999999999994,36.699999999999996
v4-vol-regime,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v4-vol-regime,3,22,15.850000000000005,0.4090909090909091,68.7,52.85000000000001
v4-vol-regime,4,12,55.349999999999994,0.6666666666666666,73.15,17.799999999999997
v4-vol-regime,5,13,-7.849999999999997,0.23076923076923078,26.650000000000002,34.5
v4-vol-regime,6,10,-23.249999999999993,0.4,23.450000000000003,46.7
v4-vol-regime,7,12,54.09999999999998,0.4166666666666667,122.74999999999999,68.64999999999999
v4-vol-regime,8,8,81.89999999999999,0.375,115.39999999999999,33.5
v4-vol-regime,9,16,63.80000000000001,0.625,134.25,70.45
v4-vol-regime,10,20,32.25,0.5,98.0,65.75
v4-vol-regime,11,13,-54.099999999999994,0.23076923076923078,10.4,64.5
v4-vol-regime,12,14,20.199999999999996,0.5,66.35,46.150000000000006
v4-vol-regime,13,21,-105.95,0.09523809523809523,33.6,139.55
v4-vol-regime,14,19,-34.55,0.3157894736842105,45.800000000000004,80.35000000000001
v4-vol-regime,15,13,-70.35000000000001,0.23076923076923078,20.4,90.75000000000001
v4-vol-regime,17,1,53.05,1.0,53.05,0.0
v4-vol-regime,18,4,-6.55,0.25,1.8,8.35
v4-vol-regime,19,11,-38.95,0.2727272727272727,14.150000000000002,53.1
v4-vol-regime,20,9,-3.799999999999997,0.3333333333333333,35.4,39.2
v4-vol-regime,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v4-vol-regime,22,12,24.100000000000005,0.5833333333333334,40.099999999999994,16.0
v4-vol-regime,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
v5-mtf-anchor,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v5-mtf-anchor,1,13,12.150000000000002,0.5384615384615384,48.849999999999994,36.699999999999996
v5-mtf-anchor,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v5-mtf-anchor,3,22,15.850000000000005,0.4090909090909091,68.7,52.85000000000001
v5-mtf-anchor,4,12,45.349999999999994,0.5833333333333334,67.6,22.25
v5-mtf-anchor,5,14,-21.049999999999994,0.21428571428571427,14.150000000000002,35.2
v5-mtf-anchor,6,10,-23.249999999999993,0.4,23.450000000000003,46.7
v5-mtf-anchor,7,12,56.59999999999998,0.4166666666666667,125.24999999999999,68.64999999999999
v5-mtf-anchor,8,8,81.89999999999999,0.375,115.39999999999999,33.5
v5-mtf-anchor,9,17,58.10000000000001,0.5882352941176471,134.25,76.15
v5-mtf-anchor,10,20,32.25,0.5,98.0,65.75
v5-mtf-anchor,11,13,-54.099999999999994,0.23076923076923078,10.4,64.5
v5-mtf-anchor,12,14,20.199999999999996,0.5,66.35,46.150000000000006
v5-mtf-anchor,13,21,-105.95,0.09523809523809523,33.6,139.55
v5-mtf-anchor,14,19,-34.55,0.3157894736842105,45.800000000000004,80.35000000000001
v5-mtf-anchor,15,13,-70.35000000000001,0.23076923076923078,20.4,90.75000000000001
v5-mtf-anchor,17,1,53.05,1.0,53.05,0.0
v5-mtf-anchor,18,4,-6.55,0.25,1.8,8.35
v5-mtf-anchor,19,11,-38.95,0.2727272727272727,14.150000000000002,53.1
v5-mtf-anchor,20,10,11.750000000000004,0.4,50.95,39.2
v5-mtf-anchor,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v5-mtf-anchor,22,11,21.050000000000004,0.5454545454545454,37.050000000000004,16.0
v5-mtf-anchor,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
